,,,Кухня,Костровая сцена,Большая Сцена и Поляна,Большой шатёр,Малый шатёр,Белый шатёр,Стеклянный шатёр    Детский городок,Терем,Столовая,Поляна с углями
Пятница,,,"Пятница, 26.06.26","Пятница, 26.06.26","Пятница, 26.06.26","Пятница, 26.06.26","Пятница, 26.06.26","Пятница, 26.06.26","Пятница, 26.06.26","Пятница, 26.06.26","Пятница, 26.06.26","Пятница, 26.06.26"
дата,час,мин,,,,,,,,,,
,,30,,,,"Семинар ""Дорасти до любви"" Юрий Курочкин (часть 2 )",Терапевтическая йога с Екатериной Князевой,,Уличная игротека с проектом «Отцы и дети»,"Мастер-класс ""Ферментация напитков и еды"" от травницы Марьяны Францевой",,
28.06.26,10,00,,,,,,,,,,
,,30,,,,,,,,,,
28.06.26,11,00,,,,Дыхательная сессия с Николаем Ворошиловым,,,Нейрографика с Викторией Большаковой для детей и родителей,,,
,,30,,,,,Групповая мандала с Андреем Плетневым,"Семинар ""Дом по Васту - Благословение"" Александр Абдуллаев",,,,
28.06.26,12,00,,,,,,,,,,
,,30,,,,,,,,,,
28.06.26,13,00,Обед,,,,,,,,,
,,30,,,,,,,,,,
28.06.26,14,00,,,,,Посвящение в мантру со Свами Нилмани. Только для серьёзнонастроеных,Регрессивная медитация под звуки ханга с Натальей Лыжиной и Ульяной Тельновой,Запуск воздушных змеев (главная поляна фестиваля),"Практический семинар Ярослава Климанова: ""Жизнь как Творчество"" ",,
,,30,,,,Контактная импровизация с Александром Быленковым,,,,,,
28.06.26,15,00,,,,,Гвоздестояние с Антоном Сараевым,,Мастер-класс «Свой мини-огород» с Максимом Бородиным для детей и родителей,,,
,,30,,,"Чек, занято",,,,,,,
28.06.26,16,00,,,РАСАМРИТА,,,,Уличная игротека с Жанной Поплавской для детей,,,
,,30,,,,,,,,,,
28.06.26,17,00,,,,,,,,,,
,,30,,,ЖИВАЯ МУЗЫКА ОМ,,,,,,,
28.06.26,18,00,,,,,,,,,,
,,30,,,,,,,,,,
28.06.26,19,00,Ужин,,,,,,,,,
,,30,ЗАВЕРШЕНИЕ ФЕСТИВАЛЯ (ОТЪЕЗД),,,,,,,,,
28.06.26,20,00,,,,,,,,,,
,,30,,,,,,,,,,
28.06.26,21,00,,,,,,,,,,
,,30,,,,,,,,,,
28.06.26,22,00,,,,,,,,,,
,,30,,,,,,,,,,
